date, pm25, pm10, no2
2025/11/1, 21, 8, 
2025/11/2, 29, 7, 1
2025/11/3, 23, 3, 
2025/11/4, 10, 8, 1
2025/11/5, 24, 11, 3
2025/11/6, 36, 13, 5
2025/11/7, 40, 17, 1
2025/11/8, 54, 10, 
2025/11/9, 39, 5, 2
2025/11/10, 20, 6, 1
2025/11/11, 18, 6, 
2025/11/12, 21, 2, 1
2025/11/13, 8, 3, 1
2025/11/14, 11, 3, 
2025/11/15, 10, 3, 1
2025/11/16, 12, 2, 1
2025/11/17, 9, , 
2025/10/1, 24, 10, 3
2025/10/2, 34, 10, 3
2025/10/3, 34, 8, 
2025/10/4, 27, 3, 
2025/10/5, 12, 6, 3
2025/10/6, 19, 5, 1
2025/10/7, 16, 5, 1
2025/10/8, 14, 5, 
2025/10/9, 17, 6, 
2025/10/10, 18, 4, 
2025/10/11, 13, 2, 
2025/10/12, 7, 2, 
2025/10/13, 6, 3, 1
2025/10/14, 12, 8, 1
2025/10/15, 21, 5, 
2025/10/16, 13, 4, 
2025/10/17, 10, 2, 
2025/10/18, 8, 3, 
2025/10/19, 9, 6, 3
2025/10/20, 17, 14, 1
2025/10/21, 50, 15, 1
2025/10/22, 53, 15, 2
2025/10/23, 54, 11, 1
2025/10/24, 43, 7, 1
2025/10/25, 22, 5, 1
2025/10/26, 17, 5, 2
2025/10/27, 17, 6, 1
2025/10/28, 17, 6, 2
2025/10/29, 19, 4, 2
2025/10/30, 17, 2, 1
2025/10/31, 6, 6, 
2025/7/1, 17, 13, 2
2025/7/2, 31, 7, 1
2025/7/3, 21, 5, 
2025/7/4, 14, 3, 
2025/7/5, 14, 4, 
2025/7/6, 13, , 
2025/7/8, 12, 5, 2
2025/7/9, 15, 7, 2
2025/7/10, 21, 9, 1
2025/7/11, 22, 13, 
2025/7/12, 45, 7, 
2025/7/13, 25, 8, 2
2025/7/14, 28, 9, 
2025/7/15, 30, 14, 1
2025/7/16, 49, 11, 1
2025/7/17, 31, 11, 2
2025/7/18, 31, 11, 1
2025/7/19, 38, 11, 
2025/7/20, 35, 12, 1
2025/7/21, 31, 12, 
2025/7/22, 43, 12, 
2025/7/23, 43, 12, 1
2025/7/24, 39, 7, 1
2025/7/25, 27, 10, 
2025/7/26, 35, 7, 
2025/7/27, 24, 8, 
2025/7/28, 18, 5, 2
2025/7/29, 20, 8, 1
2025/7/30, 26, 9, 
2025/7/31, 30, , 
2025/8/5, 15, 7, 
2025/8/6, 21, 7, 
2025/8/7, 22, 10, 
2025/8/8, 31, 7, 
2025/8/9, 21, 5, 
2025/8/10, 17, 6, 
2025/8/11, 18, 5, 
2025/8/12, 15, 7, 2
2025/8/13, 20, 12, 18
2025/8/14, 24, 13, 30
2025/8/15, 38, 3, 
2025/8/16, 8, 4, 
2025/8/17, 8, 5, 2
2025/8/18, 11, 8, 1
2025/8/19, 14, 4, 
2025/8/20, 6, 6, 1
2025/8/21, 10, 2, 1
2025/8/22, 6, 1, 
2025/8/23, 4, 2, 
2025/8/24, 5, 2, 
2025/8/25, 4, 3, 1
2025/8/26, 8, 5, 3
2025/8/27, 15, 9, 1
2025/8/28, 26, 12, 2
2025/8/29, 40, 9, 
2025/8/30, 36, , 
2025/9/4, 20, 13, 4
2025/9/5, 34, 6, 
2025/9/6, 24, 9, 
2025/9/7, 32, 13, 1
2025/9/8, 45, 17, 1
2025/9/9, 51, 19, 2
2025/9/10, 51, 13, 
2025/9/11, 42, 7, 
2025/9/12, 24, 4, 
2025/9/13, 14, 6, 
2025/9/14, 20, 5, 
2025/9/15, 16, 4, 
2025/9/16, 14, 5, 
2025/9/17, 15, 7, 
2025/9/18, 21, 9, 
2025/9/19, 26, 9, 
2025/9/20, 29, 9, 
2025/9/21, 30, 3, 
2025/9/22, 8, 3, 
2025/9/23, 8, 5, 1
2025/9/24, 11, 6, 2
2025/9/25, 14, 7, 5
2025/9/26, 19, 8, 4
2025/9/27, 27, 6, 3
2025/9/28, 22, 5, 2
2025/9/29, 12, 6, 4
2025/9/30, 18, 8, 4
2025/4/1, 16, 19, 3
2025/4/2, 25, 15, 2
2025/4/3, 18, 11, 1
2025/4/4, 12, 8, 
2025/4/5, 7, 10, 2
2025/4/6, 13, 17, 4
2025/4/7, 17, 15, 4
2025/4/8, 22, 17, 1
2025/4/9, 16, 10, 1
2025/4/10, 14, 6, 1
2025/4/11, 11, 5, 1
2025/4/12, 13, 11, 
2025/4/13, 32, 16, 2
2025/4/14, 44, 16, 3
2025/4/15, 34, 17, 2
2025/4/16, 48, 12, 1
2025/4/17, 43, 9, 1
2025/4/18, 32, 9, 1
2025/4/19, 33, 2, 
2025/4/20, 8, 2, 
2025/4/21, 6, 9, 1
2025/4/22, 34, 11, 3
2025/4/23, 40, 4, 1
2025/4/24, 9, 4, 1
2025/4/25, 8, 4, 
2025/4/26, 10, 6, 1
2025/4/27, 16, 15, 1
2025/4/28, 35, 7, 1
2025/4/29, 19, 5, 1
2025/4/30, 9, 7, 1
2025/5/1, 17, 9, 1
2025/5/2, 28, 5, 
2025/5/3, 15, 4, 
2025/5/4, 7, 5, 
2025/5/5, 11, 6, 
2025/5/6, 8, 7, 2
2025/5/7, 14, 6, 1
